frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Light-Flare,0.8871,inactive,161,144,228,222,,,,,svm
1,0.033,Torchere B,Light-Flare,0.7785,inactive,340,285,418,352,,,,,svm
1,0.033,Torchere C,Dark-Flare,0.6739,inactive,543,272,624,340,,,,,svm
2,0.067,Torchere A,Light-Flare,0.8881,inactive,161,154,227,222,,,,,svm
2,0.067,Torchere B,Light-Flare,0.7604,inactive,339,286,418,352,,,,,svm
2,0.067,Torchere C,Medium-Flare,0.4480,inactive,543,269,623,340,,,,,svm
3,0.100,Torchere A,Light-Flare,0.8931,inactive,158,155,228,223,,,,,svm
3,0.100,Torchere B,Light-Flare,0.8323,inactive,336,283,418,353,,,,,svm
3,0.100,Torchere C,Light-Flare,0.7304,inactive,538,268,623,341,,,,,svm
3,0.100,Torchere C,Medium-Flare,0.5238,inactive,538,268,623,341,,,,,svm
4,0.133,Torchere A,Light-Flare,0.8985,inactive,154,151,228,223,,,,,svm
4,0.133,Torchere B,Light-Flare,0.8732,inactive,333,282,418,352,,,,,svm
4,0.133,Torchere C,Light-Flare,0.7420,inactive,537,272,624,341,,,,,svm
4,0.133,Torchere C,Medium-Flare,0.4100,inactive,538,272,623,341,,,,,svm
5,0.167,Torchere A,Light-Flare,0.8995,bonne,150,147,228,223,,,,,svm
5,0.167,Torchere B,Light-Flare,0.8692,bonne,333,280,417,352,,,,,svm
5,0.167,Torchere C,Light-Flare,0.8258,bonne,551,279,624,340,,,,,svm
6,0.200,Torchere A,Light-Flare,0.8895,bonne,148,148,228,223,,,,,svm
6,0.200,Torchere B,Light-Flare,0.8159,bonne,333,280,416,353,,,,,svm
6,0.200,Torchere C,Light-Flare,0.8129,mauvaise,546,278,623,340,,,,,svm
7,0.234,Torchere A,Light-Flare,0.8902,bonne,146,149,228,223,,,,,svm
7,0.234,Torchere B,Light-Flare,0.8028,bonne,330,278,416,352,,,,,svm
7,0.234,Torchere C,Light-Flare,0.7980,bonne,552,278,623,339,,,,,svm
8,0.267,Torchere A,Light-Flare,0.8834,bonne,142,147,228,223,,,,,svm
8,0.267,Torchere B,Light-Flare,0.7043,bonne,331,279,416,352,,,,,svm
8,0.267,Torchere B,Medium-Flare,0.4001,bonne,333,280,416,352,,,,,svm
8,0.267,Torchere C,Light-Flare,0.8402,bonne,557,277,623,341,,,,,svm
9,0.300,Torchere A,Light-Flare,0.8858,bonne,142,145,229,223,,,,,svm
9,0.300,Torchere B,Medium-Flare,0.7790,bonne,332,278,417,351,,,,,svm
9,0.300,Torchere C,Light-Flare,0.7205,bonne,555,276,624,341,,,,,svm
10,0.334,Torchere A,Light-Flare,0.8858,bonne,151,153,229,222,,,,,svm
10,0.334,Torchere B,Medium-Flare,0.7380,bonne,340,284,417,352,,,,,svm
10,0.334,Torchere C,Light-Flare,0.8447,bonne,553,273,623,340,,,,,svm
11,0.367,Torchere A,Light-Flare,0.8862,bonne,150,153,228,222,,,,,svm
11,0.367,Torchere B,Medium-Flare,0.6564,bonne,338,283,417,352,,,,,svm
11,0.367,Torchere C,Light-Flare,0.8624,bonne,551,272,623,341,,,,,svm
12,0.400,Torchere A,Light-Flare,0.8926,bonne,149,156,228,222,,,,,svm
12,0.400,Torchere B,Medium-Flare,0.5852,bonne,335,278,416,352,,,,,svm
12,0.400,Torchere C,Light-Flare,0.8312,bonne,548,271,623,341,,,,,svm
13,0.434,Torchere A,Light-Flare,0.8782,bonne,144,155,226,222,,,,,svm
13,0.434,Torchere B,Light-Flare,0.6091,bonne,336,283,415,353,,,,,svm
13,0.434,Torchere B,Medium-Flare,0.5811,bonne,336,282,415,352,,,,,svm
13,0.434,Torchere C,Light-Flare,0.8780,bonne,546,271,623,341,,,,,svm
14,0.467,Torchere A,Light-Flare,0.8756,bonne,142,153,227,223,,,,,svm
